idx,name,volume,numTimes,price,image,question,category,brand,functionalMaterial
1,클로로파워,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,스피루리나
2,유니 비타,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,비타민E?비타민 C
3,우먼스포뮬라2미네랄,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,칼슘?마그네슘?비타민 C?비타민 B6?망간?요오드?아연?비타민D?비타민 B12
4,우먼스포뮬라1미네랄,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,비타민 C?비타민 B6?엽산?비타민 B12?칼슘?마그네슘?철?아연?망간
5,엔지겐 비 플러스 비타민,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,판토텐산?비오틴?비타민 B6?비타민 B1
6,알로에아보레센스,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,알로에 전잎
7,비전 에센셜 베타카로틴,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,비타민E?비타민 C?아연?베타카로틴
8,바이오스 라이프 이 에너지,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?비타민 C
9,바이오스 라이프 씨 플러스,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,귀리식이섬유?비타민 C?크롬?베타카로틴?비타민E?나이아신?비타민 B6?비타민 B1?비타민 B2?엽산
10,바이오스 라이프 7,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,프락토올리고당?식이섬유?비타민 B1?비타민 B2?나이아신?비타민 B6?엽산?비타민 C?비타민E?칼슘?아연
11,멀티 비타,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,비타민E?나이아신?아연?비타민 B12?엽산
12,맨스포뮬라 멀티비타민＆미네랄,,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,나이아신?아연?망간?비타민 B6?엽산?비타민 B1?비타민 B2?비타민 B12?마그네슘?비타민E?비타민 C?베타카로틴?철?판토텐산?비타민A
13,Bios 7(전량 수출 목적 제품),,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,식이섬유?비타민 B1?비타민 B2?나이아신?비타민 B6?엽산?비타민 C?비타민E?칼슘?아연
14,Bios 7 export (전량 수출목적 제품 ),,,,,,,유니시티글로벌매뉴팩쳐링 주식회사,프락토올리고당?식이섬유?비타민 B1?비타민 B2?나이아신?비타민 B6?엽산?비타민 C?비타민E?칼슘?아연
15,파이코식물성DHA유,,,,,,,파이코일바이오텍코리아(주),EPA 및 DHA 함유 유지
16,파이코식물성DHA,,,,,,,파이코일바이오텍코리아(주),EPA 및 DHA 함유 유지
17,한국칼슘왕,,,,,,,에이펙셀(주),비타민D?칼슘?마그네슘
18,평생팔팔칼슘왕,,,,,,,에이펙셀(주),비타민D?칼슘?마그네슘
19,키토산분말(원료),,,,,,,에이펙셀(주),키토산/키토올리고당
20,진세노큐리올 홍삼분말(원료),,,,,,,에이펙셀(주),홍삼
21,진세노큐리올,,,,,,,에이펙셀(주),홍삼
22,진세노드림365칼슘왕,,,,,,,에이펙셀(주),칼슘?비타민D?마그네슘
23,위대한 칼슘,,,,,,,에이펙셀(주),칼슘?마그네슘?비타민D
24,엔홍삼분골드,,,,,,,에이펙셀(주),홍삼
25,에이펙셀키토산,,,,,,,에이펙셀(주),키토산/키토올리고당?칼슘?서류가공품
26,에이지엑스,,,,,,,에이펙셀(주),칼슘?비타민D?마그네슘
27,건분식 홍삼분말(원료),,,,,,,에이펙셀(주),홍삼
28,강골칼슘,,,,,,,에이펙셀(주),칼슘?비타민D?마그네슘
29,8030칼슘프리미엄츄어블,,,,,,,에이펙셀(주),칼슘?마그네슘?비타민D
30,8030칼슘프리미엄,,,,,,,에이펙셀(주),칼슘?마그네슘?비타민D
31,8030칼슘분말(원료),,,,,,,에이펙셀(주),칼슘
32,8030칼슘마그비타,,,,,,,에이펙셀(주),칼슘?마그네슘?비타민D
33,7030칼슘프리미엄츄어블,,,,,,,에이펙셀(주),칼슘?마그네슘?비타민D
34,7030칼슘프리미엄,,,,,,,에이펙셀(주),칼슘?마그네슘?비타민D
35,7030칼슘분말(원료),,,,,,,에이펙셀(주),칼슘
36,7030칼슘마그비타,,,,,,,에이펙셀(주),칼슘?마그네슘?비타민D
37,6030칼슘분말(원료),,,,,,,에이펙셀(주),칼슘
38,6030칼슘마그비타,,,,,,,에이펙셀(주),칼슘?마그네슘?비타민D
39,트루오메가-3,,,,,,,고려은단 헬스케어(주),EPA 및 DHA 함유 유지
40,퀄리티멀티비타민,,,,,,,고려은단 헬스케어(주),비타민 C?비타민 B1?비타민 B2?비타민 B6?비타민 B12?나이아신?판토텐산
41,유산균의 힘,,,,,,,고려은단 헬스케어(주),프로바이오틱스
42,식물성오메가1000,,,,,,,고려은단 헬스케어(주),EPA 및 DHA 함유 유지?비타민D
43,비타플렉스 포 우먼,,,,,,,고려은단 헬스케어(주),비타민 C?비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?비타민 B12?엽산?비타민A?비타민D?비타민E?철?아연?구리?셀레늄(또는 셀렌)?망간?크롬?베타카로틴?비오틴
44,비타플렉스 포 맨,,,,,,,고려은단 헬스케어(주),비타민 C?비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?비타민 B12?엽산?비오틴?비타민A?베타카로틴?비타민D?비타민E?철?아연?구리?셀레늄(또는 셀렌)?망간?크롬?마그네슘
45,비타민C1000,,,,,,,고려은단 헬스케어(주),비타민 C
46,비타메가500,,,,,,,고려은단 헬스케어(주),비타민 C?EPA 및 DHA 함유 유지
47,면역비타민,,,,,,,고려은단 헬스케어(주),비타민 C?아연?홍삼
48,메가도스C3000,,,,,,,고려은단 헬스케어(주),비타민 C
49,메가도스C2000,,,,,,,고려은단 헬스케어(주),비타민 C
50,메가도스B,,,,,,,고려은단 헬스케어(주),비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?비타민 B12?엽산?비오틴
51,뉴트리언스 엽산,,,,,,,고려은단 헬스케어(주),엽산
52,뉴트리언스 비타민D,,,,,,,고려은단 헬스케어(주),비타민D
53,골드플러스,,,,,,,고려은단 헬스케어(주),비타민 C?비타민D?아연?비오틴
54,골드B,,,,,,,고려은단 헬스케어(주),비타민 C?비타민D?비타민 B1?비타민 B6?아연?비오틴
55,고려은단홍삼비타민C오리지날,,,,,,,고려은단 헬스케어(주),비타민 C?홍삼?나이아신?판토텐산?비타민 B6?비타민 B1?비타민 B2
56,고려은단오메가3,,,,,,,고려은단 헬스케어(주),EPA 및 DHA 함유 유지
57,고려은단슈퍼비씨,,,,,,,고려은단 헬스케어(주),비타민 C?비타민 B1?비타민 B2?비타민 B12?판토텐산?엽산?비오틴
58,고려은단비타민C분말,,,,,,,고려은단 헬스케어(주),비타민 C?비타민 B2?판토텐산
59,고려은단비타민C3000,,,,,,,고려은단 헬스케어(주),비타민 C
60,고려은단멀티비타민,,,,,,,고려은단 헬스케어(주),비타민 C?나이아신?판토텐산?비타민 B12?비타민 B6?비타민 B1?비타민 B2
61,고려은단 활력비타민&미네랄,,,,,,,고려은단 헬스케어(주),비타민 C?철?아연?비타민 B12?비타민 B6?비타민 B2
62,고려은단 헬스타민 우먼,,,,,,,고려은단 헬스케어(주),마그네슘?비타민 C?비타민E?철?셀레늄(또는 셀렌)?나이아신?몰리브덴?크롬?아연?망간?비타민A?판토텐산?비타민D?구리?비타민 B12?비타민 B6?비타민K?비타민 B1?비타민 B2?엽산?비오틴
63,고려은단 헬스타민 맨,,,,,,,고려은단 헬스케어(주),마그네슘?비타민 C?비타민E?셀레늄(또는 셀렌)?철?나이아신?크롬?몰리브덴?아연?망간?비타민A?판토텐산?비타민D?구리?비타민 B12?비타민 B6?비타민K?비타민 B2?비타민 B1?엽산?비오틴
64,고려은단 비타민D 츄어블,,,,,,,고려은단 헬스케어(주),비타민D
65,고려은단 비타민D,,,,,,,고려은단 헬스케어(주),비타민D
66,고려은단 비타민C700,,,,,,,고려은단 헬스케어(주),비타민 C
67,고려은단 비타민C 골드플러스 파워업,,,,,,,고려은단 헬스케어(주),비타민 C?판토텐산?비타민D?비타민 B12?아연?비타민 B2?비오틴
68,고려은단 비타민BC,,,,,,,고려은단 헬스케어(주),비타민 C?비타민 B1?비타민 B2?비타민 B6?비타민 B12?나이아신?판토텐산?엽산?비오틴
69,고려은단 비타민B,,,,,,,고려은단 헬스케어(주),비타민 B1?비타민 B2?나이아신?판토텐산?비타민 B6?비타민 B12?엽산?비오틴
70,고려은단 비타미녀씨,,,,,,,고려은단 헬스케어(주),비타민 C?히알루론산(제2017-2호)
71,고려은단 골드 멀티,,,,,,,고려은단 헬스케어(주),비타민 C?판토텐산?비타민D?비타민 B12?아연?비타민 B2?비오틴
72,메모리365프리미엄,,,,,,,(주)알바이오,감마리놀렌산 함유 유지?BT-11원지추출분말?비타민 C
73,BT-11원지추출분말,,,,,,,(주)알바이오,
74,야호맨(YHM),,,,,,,(주)두한바이오,호로파종자 등 추출복합물(기능성원료 인정 제2017-5호)
75,YHM(호로파종자 등 추출복합물),,,,,,,(주)두한바이오,호로파종자 등 추출복합물(기능성원료 인정 제2017-5호)
76,프리락토 시그니처 키즈,,,,,,,(주)종근당바이오,프로바이오틱스?아연?비타민D
77,프리락토 시그니처,,,,,,,(주)종근당바이오,프로바이오틱스?아연
78,종근당바이오 엔테로코커스 페칼리스 씨케이디비 105,,,,,,,(주)종근당바이오,프로바이오틱스
79,종근당바이오 엔테로코커스 페칼리스 씨케이디비 005,,,,,,,(주)종근당바이오,프로바이오틱스
80,종근당바이오 엔테로코커스 페시움 씨케이디비 003엠3,,,,,,,(주)종근당바이오,프로바이오틱스
81,종근당바이오 엔테로코커스 페시움 씨케이디비 003 이(E),,,,,,,(주)종근당바이오,프로바이오틱스
82,종근당바이오 스트렙토코커스 써모필러스 씨케이디비 027,,,,,,,(주)종근당바이오,프로바이오틱스
83,종근당바이오 스트렙토코커스 써모필러스 씨케이디비 021,,,,,,,(주)종근당바이오,프로바이오틱스
84,종근당바이오 비피도박테리움 비피덤 케이비엘481,,,,,,,(주)종근당바이오,프로바이오틱스
85,종근당바이오 비피도박테리움 비피덤 씨케이디비 001,,,,,,,(주)종근당바이오,
86,종근당바이오 비피도박테리움 브레브 씨케이디비 102,,,,,,,(주)종근당바이오,프로바이오틱스
87,종근당바이오 비피도박테리움 브레브 씨케이디비 002,,,,,,,(주)종근당바이오,프로바이오틱스
88,종근당바이오 비피도박테리움 롱검 씨케이디비 004,,,,,,,(주)종근당바이오,프로바이오틱스
89,종근당바이오 비피도박테리움 락티스 씨케이디비 005,,,,,,,(주)종근당바이오,프로바이오틱스
90,종근당바이오 락토코커스 락티스 씨케이디비 001,,,,,,,(주)종근당바이오,프로바이오틱스
91,종근당바이오 락토바실러스 헬베티쿠스 씨케이디비 101,,,,,,,(주)종근당바이오,프로바이오틱스
92,종근당바이오 락토바실러스 헬베티쿠스 씨케이디비 001,,,,,,,(주)종근당바이오,프로바이오틱스
93,종근당바이오 락토바실러스 플랜타럼 케이10,,,,,,,(주)종근당바이오,프로바이오틱스
94,종근당바이오 락토바실러스 플랜타럼 씨케이디비 014,,,,,,,(주)종근당바이오,프로바이오틱스
95,종근당바이오 락토바실러스 플랜타럼 씨케이디비 008,,,,,,,(주)종근당바이오,프로바이오틱스
96,종근당바이오 락토바실러스 플랜타럼 씨케이디비 007,,,,,,,(주)종근당바이오,프로바이오틱스
97,종근당바이오 락토바실러스 퍼멘텀 케이비엘375,,,,,,,(주)종근당바이오,프로바이오틱스
98,종근당바이오 락토바실러스 퍼멘텀 씨케이디비 004,,,,,,,(주)종근당바이오,프로바이오틱스
99,종근당바이오 락토바실러스 파라카제이 케이비엘384,,,,,,,(주)종근당바이오,프로바이오틱스
100,종근당바이오 락토바실러스 파라카제이 씨케이디비 005,,,,,,,(주)종근당바이오,프로바이오틱스
101,종근당바이오 락토바실러스 카제이 씨케이디비 007,,,,,,,(주)종근당바이오,프로바이오틱스
102,종근당바이오 락토바실러스 애시도필러스 씨케이디비 007,,,,,,,(주)종근당바이오,프로바이오틱스
103,종근당바이오 락토바실러스 살리바리우스 씨케이디비 001,,,,,,,(주)종근당바이오,프로바이오틱스
104,종근당바이오 락토바실러스 불가리쿠스 씨케이디비 001,,,,,,,(주)종근당바이오,프로바이오틱스
105,종근당바이오 락토바실러스 루테리 씨케이디비 019,,,,,,,(주)종근당바이오,프로바이오틱스
106,종근당바이오 락토바실러스 람노서스 씨케이디비 109,,,,,,,(주)종근당바이오,프로바이오틱스
107,종근당바이오 락토바실러스 람노서스 씨케이디비 009,,,,,,,(주)종근당바이오,프로바이오틱스
108,종근당바이오 락토바실러스 가세리 씨케이디비 026,,,,,,,(주)종근당바이오,프로바이오틱스
109,이에프 얼라이브핏(EF AliveFIT) 003,,,,,,,(주)종근당바이오,프로바이오틱스
110,유거스(Youguth) 아이튼튼 업(UP),,,,,,,(주)종근당바이오,프로바이오틱스?아연
111,유거스(Youguth) 실버 업(UP),,,,,,,(주)종근당바이오,프로바이오틱스?망간
112,유거스(Youguth) 레이디챠밍 업(UP),,,,,,,(주)종근당바이오,프로바이오틱스?비타민 C
113,유거스(Youguth) 그린에너지 업(UP),,,,,,,(주)종근당바이오,프로바이오틱스?비타민 B1?비타민 B2?판토텐산?비타민 B6
114,Youguth Silver Up! (전량수출용),,,,,,,(주)종근당바이오,프로바이오틱스?망간
115,Youguth Lady Charming Up! (전량수출용),,,,,,,(주)종근당바이오,프로바이오틱스?비타민 C
116,Youguth Green Energy Up! (전량수출용),,,,,,,(주)종근당바이오,프로바이오틱스?비타민 B6?비타민 B1?비타민 B2?판토텐산
117,Youguth Child Strength Up! (전량수출용),,,,,,,(주)종근당바이오,아연?프로바이오틱스
118,락토바실러스 루테리 JBD301,,,,,,,(주)지니스,프로바이오틱스
119,락토바실러스 JBD 4종 혼합유산균,,,,,,,(주)지니스,프로바이오틱스
120,황칠나무잎분말,,,,,,,농업회사법인(주)제이웰바이오팜,엽록소 함유 식물
121,천년황칠 미인,,,,,,,농업회사법인(주)제이웰바이오팜,엽록소 함유 식물?가르시니아캄보지아 추출물?히알루론산?비타민 C?비타민E
122,제주 삼보정,,,,,,,농업회사법인(주)제이웰바이오팜,홍삼
123,제주 삼보,,,,,,,농업회사법인(주)제이웰바이오팜,홍삼
124,제이웰 레드퀸,,,,,,,농업회사법인(주)제이웰바이오팜,석류추출물(제2015-28호)?히알루론산?가르시니아캄보지아 추출물?비타민E?비타민 B1?비타민 B2
125,홍삼분말,,,,,,,영동건강 주식회사,홍삼
126,차크라이스(CHAKREIS),,,,,,,영동건강 주식회사,홍삼
127,저스트핏(Just fit) 슬림플러스,,,,,,,농업회사법인(주)이비채,폴리덱스트로스?가르시니아캄보지아 추출물
128,홍삼제조파워,,,,,,,(주)바이오션,홍삼
129,홍삼씨케이분말,,,,,,,(주)바이오션,홍삼농축액(제2012-8호)
130,홍삼농축원액,,,,,,,(주)바이오션,홍삼
131,홍삼농축액골드,,,,,,,(주)바이오션,홍삼
132,홍삼농축액,,,,,,,(주)바이오션,홍삼
133,헬스본파워캡슐,,,,,,,(주)바이오션,N-아세틸글루코사민
134,프로폴리스30 (PROPOLIS 30),,,,,,,(주)바이오션,프로폴리스추출물
135,수용성프로폴리스,,,,,,,(주)바이오션,프로폴리스추출물
136,발효홍삼추출원액,,,,,,,(주)바이오션,홍삼
137,흑삼농축액,,,,,,,농업회사법인 금산흑삼 주식회사,홍삼
138,홍삼베리,,,,,,,농업회사법인 금산흑삼 주식회사,홍삼
139,금흑흑삼정,,,,,,,농업회사법인 금산흑삼 주식회사,홍삼
140,금흑흑삼에브리진생프리미엄,,,,,,,농업회사법인 금산흑삼 주식회사,홍삼
141,금흑흑녹정,,,,,,,농업회사법인 금산흑삼 주식회사,홍삼
142,금흑정,,,,,,,농업회사법인 금산흑삼 주식회사,홍삼
143,메가헤르츠 고려홍삼스틱,,,,,,,농업회사법인 주식회사 토음,홍삼
144,고려홍삼 에브리데이스틱(수출용),,,,,,,농업회사법인 주식회사 토음,홍삼
145,고려홍삼 에브리데이 스틱,,,,,,,농업회사법인 주식회사 토음,홍삼
146,6년근고려홍삼황제정스틱,,,,,,,농업회사법인 주식회사 토음,홍삼
147,헤모미,,,,,,,(주)씨엘팜,철
148,발효홍삼필름,,,,,,,(주)씨엘팜,홍삼
149,디엣브이,,,,,,,(주)씨엘팜,나이아신
150,닥터필홍삼,,,,,,,(주)씨엘팜,홍삼
151,닥터필키즈비타민씨,,,,,,,(주)씨엘팜,비타민 C
152,프로바이오틱스,,,,,,,(주)원일바이오,프로바이오틱스
153,칼슘 마그네슘 아연 비타민D,,,,,,,(주)원일바이오,칼슘?마그네슘?아연?비타민D
154,차전자피 식이섬유,,,,,,,(주)원일바이오,차전자피식이섬유
155,제이-서포트 (J-SUPPORT),,,,,,,(주)원일바이오,프로바이오틱스?비타민D
156,원일홍삼마력(魔力)고,,,,,,,(주)원일바이오,홍삼
157,비타민C,,,,,,,(주)원일바이오,비타민 C
158,멀티비타민,,,,,,,(주)원일바이오,비타민 C?나이아신?비타민E?아연?비타민 B2?비타민 B1?망간?비타민A?비타민 B6?비타민 B12?엽산?비타민D
159,그린플러스,,,,,,,(주)원일바이오,녹차추출물
160,간솔루션 밀크씨슬,,,,,,,(주)원일바이오,비타민 C?밀크씨슬(카르두스 마리아누스) 추출물
161,가르시니아 프리미엄,,,,,,,(주)원일바이오,가르시니아캄보지아 추출물?난소화성말토덱스트린
162,가르시니아 다이어트,,,,,,,(주)원일바이오,가르시니아캄보지아 추출물
163,MSM관절275(엠에스엠관절275),,,,,,,(주)원일바이오,엠에스엠(MSM?Methyl sulfonylmethane?디메틸설폰)
164,MSM100 (엠에스엠 100),,,,,,,(주)원일바이오,엠에스엠(MSM?Methyl sulfonylmethane?디메틸설폰)
165,MSM (엠에스엠),,,,,,,(주)원일바이오,엠에스엠(MSM?Methyl sulfonylmethane?디메틸설폰)
166,액티비아 프리미엄 프로바이오틱스 시음용,,,,,,,풀무원다논 주식회사,프로바이오틱스
167,액티비아 프리미엄 프로바이오틱스 슈퍼블랙 시음용,,,,,,,풀무원다논 주식회사,프로바이오틱스
168,액티비아 프리미엄 프로바이오틱스 슈퍼블랙,,,,,,,풀무원다논 주식회사,프로바이오틱스
169,액티비아 프리미엄 프로바이오틱스,,,,,,,풀무원다논 주식회사,프로바이오틱스
170,케이퓨어 3 티지 (K-Pure 3 TG),,,,,,,(주)케이팜테크,EPA 및 DHA 함유 유지
171,케이퓨어 3 이이(K-PURE 3 EE),,,,,,,(주)케이팜테크,EPA 및 DHA 함유 유지
172,케이 퓨어 3 알티지 울트라 (K-PURE 3 rTG Ultra),,,,,,,(주)케이팜테크,EPA 및 DHA 함유 유지
173,케이 퓨어 3 알티지 에이(K-PURE 3 rTG A),,,,,,,(주)케이팜테크,EPA 및 DHA 함유 유지
174,아쿠아 옥타코사놀5.0,,,,,,,차가바이오,옥타코사놀 함유 유지
175,라이스(쌀겨) 옥타코사놀50,,,,,,,차가바이오,옥타코사놀 함유 유지
176,홍삼진골드,,,,,,,(주)중원바이오팜,홍삼
177,튼튼365설폰플러스,,,,,,,(주)중원바이오팜,엠에스엠(MSM?Methyl sulfonylmethane?디메틸설폰)
178,태홍란,,,,,,,(주)중원바이오팜,홍삼
179,치맥신포르테,,,,,,,(주)중원바이오팜,은행잎 추출물?홍국
180,잇츠라인(It's line),,,,,,,(주)중원바이오팜,가르시니아캄보지아 추출물
181,엠에스엠 건강파우더,,,,,,,(주)중원바이오팜,엠에스엠(MSM?Methyl sulfonylmethane?디메틸설폰)
182,슬림다이어트씬,,,,,,,(주)중원바이오팜,가르시니아캄보지아 추출물
183,다이어트365,,,,,,,(주)중원바이오팜,가르시니아캄보지아 추출물
184,눈사랑 골드포르테,,,,,,,(주)중원바이오팜,비타민A
185,중원프로바이오틱스 유산균,,,,,,,(주)중원바이오팜,프로바이오틱스
186,홍삼정로얄,,,,,,,농업회사법인에스에스바이오팜(주),홍삼
187,홍루테인(수출용),,,,,,,농업회사법인에스에스바이오팜(주),마리골드꽃추출물
188,호리호리진,,,,,,,농업회사법인에스에스바이오팜(주),녹차추출물?비타민 C?엽산?판토텐산?아연?알로에 전잎
189,호리호리신비감다이어트,,,,,,,농업회사법인에스에스바이오팜(주),가르시니아캄보지아 추출물
190,호리호리공,,,,,,,농업회사법인에스에스바이오팜(주),가르시니아캄보지아 추출물?차전자피식이섬유
191,해피브레인365(수출용),,,,,,,농업회사법인에스에스바이오팜(주),홍삼?은행잎 추출물?비타민E?비타민 B6?망간?아연
192,해피브레인365,,,,,,,농업회사법인에스에스바이오팜(주),홍삼?은행잎 추출물?비타민E?비타민 B6?망간?아연
193,하나가치 전립선 큐(Q),,,,,,,농업회사법인에스에스바이오팜(주),비타민E?쏘팔메토 열매 추출물?옥타코사놀 함유 유지?아연
194,파워킹에프,,,,,,,농업회사법인에스에스바이오팜(주),옥타코사놀 함유 유지?아연
195,파워라이프골드,,,,,,,농업회사법인에스에스바이오팜(주),비타민E
196,파워당케어,,,,,,,농업회사법인에스에스바이오팜(주),바나바잎 추출물
197,컷앤핏 화이바,,,,,,,농업회사법인에스에스바이오팜(주),차전자피식이섬유?가르시니아캄보지아 추출물
198,청솔100(수출용),,,,,,,농업회사법인에스에스바이오팜(주),비타민E
199,채움건강,,,,,,,농업회사법인에스에스바이오팜(주),이눌린/치커리추출물?아연?비타민 C?셀레늄(또는 셀렌)?판토텐산?비타민 B12?비타민 B2?비타민 B6
200,채움,,,,,,,농업회사법인에스에스바이오팜(주),비타민 C?아연?비타민 B6?비타민 B1?비타민 B2
201,제이엠청솔(JMCHEONGSOL)(전량수출용),,,,,,,농업회사법인에스에스바이오팜(주),비타민E
202,제이엠엠에스엠(전량수출용),,,,,,,농업회사법인에스에스바이오팜(주),엠에스엠(MSM?Methyl sulfonylmethane?디메틸설폰)
203,제이엠 프로폴리스,,,,,,,농업회사법인에스에스바이오팜(주),프로폴리스추출물
204,전립선 아버님께,,,,,,,농업회사법인에스에스바이오팜(주),쏘팔메토 열매 추출물?옥타코사놀 함유 유지?아연?비타민E
205,적송(수출용),,,,,,,농업회사법인에스에스바이오팜(주),비타민E
206,장프로그램다이어트Ⅱ,,,,,,,농업회사법인에스에스바이오팜(주),녹차추출물?비타민 C?셀레늄(또는 셀렌)?엽산?판토텐산?아연?알로에 전잎
207,장프로그램다이어트I,,,,,,,농업회사법인에스에스바이오팜(주),차전자피식이섬유?가르시니아캄보지아 추출물
208,장쾌다이어트업,,,,,,,농업회사법인에스에스바이오팜(주),가르시니아캄보지아 추출물?알로에 전잎
209,장쾌다이어트,,,,,,,농업회사법인에스에스바이오팜(주),차전자피식이섬유?가르시니아캄보지아 추출물
210,이소플라본이브,,,,,,,농업회사법인에스에스바이오팜(주),대두이소플라본
211,옥타지(Z),,,,,,,농업회사법인에스에스바이오팜(주),아연?옥타코사놀 함유 유지?홍삼
212,옥타Z플러스,,,,,,,농업회사법인에스에스바이오팜(주),홍삼?옥타코사놀 함유 유지?아연?비타민 B1?비타민 B2
213,아버님께,,,,,,,농업회사법인에스에스바이오팜(주),아연?옥타코사놀 함유 유지?비타민E?쏘팔메토 열매 추출물
214,슬림업수용성가르시니아,,,,,,,농업회사법인에스에스바이오팜(주),가르시니아캄보지아 추출물?비타민 C
215,슬림미드림다이어트,,,,,,,농업회사법인에스에스바이오팜(주),녹차추출물
216,쉬움-채움,,,,,,,농업회사법인에스에스바이오팜(주),녹차추출물?비타민 B6?비타민 B1?비타민 B2
217,쉬움-지움,,,,,,,농업회사법인에스에스바이오팜(주),비타민 B1?비타민 B2?비타민 B6?판토텐산?콜레우스 포스콜리 추출물(제2012-5호)
218,쉬움-비움,,,,,,,농업회사법인에스에스바이오팜(주),가르시니아캄보지아 추출물?차전자피식이섬유
219,삼성흑삼정골드,,,,,,,농업회사법인에스에스바이오팜(주),홍삼
220,삼성황제공진환(전량수출용),,,,,,,농업회사법인에스에스바이오팜(주),옥타코사놀 함유 유지
221,삼성황금송(수출용),,,,,,,농업회사법인에스에스바이오팜(주),비타민E
222,삼성홍삼정로얄(전량수출용),,,,,,,농업회사법인에스에스바이오팜(주),홍삼
223,삼성하버드통키,,,,,,,농업회사법인에스에스바이오팜(주),칼슘?비타민 B2?엽산?판토텐산?비타민 B6?아연?비타민 B1
224,삼성프리맥스조인트(수출용),,,,,,,농업회사법인에스에스바이오팜(주),글루코사민?마그네슘?비타민D
225,삼성팔팔관절조인트,,,,,,,농업회사법인에스에스바이오팜(주),엠에스엠(MSM?Methyl sulfonylmethane?디메틸설폰)?비타민 C?비타민D
226,삼성파워킹에프(수출용),,,,,,,농업회사법인에스에스바이오팜(주),옥타코사놀 함유 유지?아연
227,삼성파워라이프골드(전량수출용),,,,,,,농업회사법인에스에스바이오팜(주),비타민E
228,삼성전립선아버님께,,,,,,,농업회사법인에스에스바이오팜(주),아연?옥타코사놀 함유 유지?비타민E?쏘팔메토 열매 추출물
229,삼성장쾌다이어트,,,,,,,농업회사법인에스에스바이오팜(주),차전자피식이섬유?가르시니아캄보지아 추출물
230,삼성이소플라본이브(수출용),,,,,,,농업회사법인에스에스바이오팜(주),대두이소플라본
231,삼성옥타그라(전량수출용),,,,,,,농업회사법인에스에스바이오팜(주),홍삼?아연?옥타코사놀 함유 유지
232,삼성싱싱조인트,,,,,,,농업회사법인에스에스바이오팜(주),엠에스엠(MSM?Methyl sulfonylmethane?디메틸설폰)?비타민 C?비타민D
233,삼성신비감다이어트,,,,,,,농업회사법인에스에스바이오팜(주),녹차추출물
234,삼성슈퍼칼슘,,,,,,,농업회사법인에스에스바이오팜(주),칼슘?비타민D
235,삼성변했어,,,,,,,농업회사법인에스에스바이오팜(주),차전자피식이섬유?가르시니아캄보지아 추출물
236,삼성미백퀸,,,,,,,농업회사법인에스에스바이오팜(주),비타민 C?비타민E?아연?셀레늄(또는 셀렌)?비타민D
237,삼성눈건강,,,,,,,농업회사법인에스에스바이오팜(주),비타민A?은행잎 추출물?마리골드꽃추출물?아연?망간?비타민 B6
238,삼성관절엠에스엠,,,,,,,농업회사법인에스에스바이오팜(주),엠에스엠(MSM?Methyl sulfonylmethane?디메틸설폰)?비타민 C
239,삼성갱년기어머님께,,,,,,,농업회사법인에스에스바이오팜(주),은행잎 추출물?비타민D?석류추출물(제2015-28호)
240,삼성간보호,,,,,,,농업회사법인에스에스바이오팜(주),밀크씨슬(카르두스 마리아누스) 추출물?비타민 C
241,변했어,,,,,,,농업회사법인에스에스바이오팜(주),차전자피식이섬유?가르시니아캄보지아 추출물
242,변했삼,,,,,,,농업회사법인에스에스바이오팜(주),홍삼
243,반했어(레몬맛),,,,,,,농업회사법인에스에스바이오팜(주),가르시니아캄보지아 추출물?나이아신?판토텐산
244,미,,,,,,,농업회사법인에스에스바이오팜(주),비타민 C
245,김도리야황삼(野皇蔘),,,,,,,농업회사법인에스에스바이오팜(주),홍삼
246,ss쾌변데이(수출용),,,,,,,농업회사법인에스에스바이오팜(주),녹차추출물?차전자피식이섬유
247,TA홍삼정골드(수출용),,,,,,,농업회사법인에스에스바이오팜(주),홍삼
248,SS쾌변데이,,,,,,,농업회사법인에스에스바이오팜(주),차전자피식이섬유?녹차추출물
249,SS(에스에스)여신,,,,,,,농업회사법인에스에스바이오팜(주),은행잎 추출물?비타민D?석류추출물(제2015-28호)
250,SS(에스에스)남신,,,,,,,농업회사법인에스에스바이오팜(주),홍삼?아연?옥타코사놀 함유 유지
251,OCTA-Z-E(수출용),,,,,,,농업회사법인에스에스바이오팜(주),아연?옥타코사놀 함유 유지?홍삼
252,힐코 헤파녹스 캡슐,,,,,,,주식회사 제이비케이랩,밀크씨슬(카르두스 마리아누스) 추출물
